elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in
0	280	1320	9	1699	1708
5	239	1520	9	2045	2139
10	266	2808	9	2567	2585
15	293	2880	9	2911	3022
20	315	3020	9	3436	3452
25	333	3096	9	3776	3886
30	334	3232	9	4303	4329
35	334	4264	9	4657	4766
41	322	5300	9	5166	5201
46	328	5368	9	5488	5609
51	349	5372	9	6002	6045
56	279	5372	9	6337	6472
61	278	5376	9	6857	6899
66	303	5380	9	7193	7330
71	334	6408	9	7709	7773
76	379	6412	9	8055	8190
81	389	6412	9	8582	8634
86	399	7440	9	8927	9080
91	408	7504	9	9459	9519
96	411	8592	9	9810	9959
101	417	8592	9	10337	10399
106	428	8592	9	10687	10838
112	433	8592	9	11216	11278
117	442	8592	9	11572	11721
122	443	9616	9	12104	12166
127	457	9616	9	12456	12609
132	483	10640	9	12988	13059
137	498	10640	9	13338	13495
142	519	10640	9	13865	13929
147	537	10704	9	14221	14374
152	565	11728	9	14754	14816
157	580	11728	9	15100	15250
162	609	11728	9	15643	15698
167	610	11728	9	16004	16148
172	617	11728	9	16533	16594
177	624	12752	9	16894	17046
183	611	13776	9	17442	17495
188	611	13840	9	17797	17935
193	612	13840	9	18318	18372
198	594	13840	9	18676	18808
203	601	13904	9	19208	19251
208	610	14928	9	19563	19697
213	619	14928	9	20098	20142
218	620	13904	9	20456	20581
223	620	14928	9	20985	21020
228	637	10640	9	21346	21463
233	661	16976	9	21877	21903
238	683	16976	9	22233	22343
243	690	16976	9	22763	22782
248	631	16976	9	23127	23224
254	627	17040	9	23651	23659
259	646	17040	9	24002	24097
264	663	18064	9	24366	24535
269	659	18064	9	24902	24980
274	669	18064	9	25262	25431
279	699	18064	9	25814	25886
284	707	19088	9	26169	26331
289	733	20112	9	26716	26779
294	1008	20176	9	27071	27222
299	1009	20176	9	27616	27671
