elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in
0	230	1324	10	1783	1783
5	256	1528	10	2221	2221
10	282	2888	10	2667	2667
15	292	2956	10	3082	3082
20	303	3024	10	3507	3507
25	329	3100	10	3935	3935
30	330	3312	10	4362	4362
35	331	4340	10	4781	4781
40	333	5304	10	5202	5202
45	337	5372	10	5626	5626
50	346	5444	10	6048	6048
56	363	5444	10	6465	6465
61	387	5380	10	6889	6889
66	414	5384	10	7313	7313
71	439	6480	10	7730	7730
76	467	6488	10	8157	8157
81	479	6416	10	8578	8578
86	478	7508	10	8992	8992
91	459	7580	10	9418	9418
96	440	6748	10	9843	9843
101	431	8596	10	10270	10270
106	433	8664	10	10696	10696
111	438	8660	10	11120	11120
116	424	8596	10	11530	11530
122	427	8596	10	11953	11953
127	450	9692	10	12379	12379
132	471	9688	10	12802	12802
137	493	10644	10	13220	13220
142	516	10644	10	13643	13643
147	540	10780	10	14066	14066
152	570	10776	10	14484	14484
157	598	11732	10	14915	14915
162	638	11732	10	15344	15344
167	646	11804	10	15762	15762
172	653	11804	10	16185	16185
177	626	11732	10	16608	16608
182	600	12756	10	17027	17027
188	601	13912	10	17441	17441
193	607	13912	10	17862	17862
198	606	13844	10	18289	18289
203	611	13908	10	18699	18699
208	589	13980	10	19118	19118
213	596	14044	10	19546	19546
218	602	14932	10	19974	19974
223	598	14932	10	20403	20403
228	606	15004	10	20832	20832
233	602	15004	10	21260	21260
238	613	15956	10	21676	21676
243	609	16980	10	22104	22104
248	609	17048	10	22523	22523
254	624	17116	10	22949	22949
259	642	17044	10	23377	23377
264	664	17044	10	23801	23801
269	652	17112	10	24218	24218
274	677	18140	10	24647	24647
279	701	18068	10	25076	25076
284	724	18068	10	25492	25492
289	730	19292	10	25916	25916
294	712	19228	10	26343	26343
299	814	16084	10	26765	26765
