elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in
0	277	1384	9	1835	1845
5	305	1520	9	2000	2296
10	334	1532	9	2000	2758
15	366	1544	9	2000	3218
20	398	1548	9	2000	3671
25	367	1560	9	2000	4131
30	361	1568	9	2000	4596
35	361	1580	9	2000	5054
41	362	1588	9	2000	5507
46	326	1652	9	2000	5969
51	351	1656	9	2000	6423
56	382	1660	9	2000	6885
61	419	1664	9	2000	7340
66	404	1668	9	2000	7807
71	404	1672	9	2000	8267
76	404	1676	9	2000	8728
81	405	1680	9	2000	9186
86	407	1680	9	2000	9638
91	407	1744	9	2000	10097
96	411	1808	9	2000	10562
101	423	1808	9	2000	11016
106	448	1808	9	2000	11445
112	460	1808	9	2000	11872
117	459	1808	9	2000	12298
122	448	1808	9	2000	12735
127	425	1808	9	2000	13164
132	402	1808	9	2000	13590
137	381	1808	9	2000	14019
142	390	1808	9	2000	14451
147	395	1872	9	2000	14881
152	413	1872	9	2000	15318
157	432	1872	9	2000	15754
162	507	1872	9	2000	16185
167	483	1872	9	2000	16621
172	486	1872	9	2000	17066
177	487	1872	9	2000	17506
183	488	1552	9	2000	17948
188	489	1872	9	2000	18378
193	479	1936	9	2000	18813
198	486	1936	9	2000	19244
203	491	2000	9	2000	19675
208	503	2000	9	2000	20112
213	510	2000	9	2000	20546
218	533	2000	9	2000	20991
223	550	2000	9	2000	21424
228	551	2000	9	2000	21858
233	552	2000	9	2000	22290
238	547	2000	9	2000	22721
243	545	2000	9	2000	23153
249	547	2000	9	2000	23592
254	547	2064	9	2000	24021
259	547	2064	9	2000	24453
264	538	2064	9	2000	24888
269	531	2064	9	2000	25327
274	485	2064	9	2000	25760
279	505	2064	9	2000	26195
284	505	2064	9	2000	26630
289	505	2128	9	2000	27069
294	506	2128	9	2000	27508
299	507	2128	9	2000	27942
