elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in
0	188	1876	9	1745	1754
5	224	3172	9	2091	2193
10	258	4276	9	2621	2639
15	291	4344	9	2969	3075
21	324	4348	9	3473	3490
26	325	4352	9	3817	3929
31	327	5380	9	4321	4357
36	328	6404	9	4668	4779
41	337	6476	9	5178	5214
46	359	6480	9	5529	5661
51	394	7508	9	6054	6099
56	429	7512	9	6410	6544
61	454	7516	9	6945	6989
66	455	8604	9	7292	7434
71	455	9692	9	7826	7878
76	460	9692	9	8184	8327
81	465	9692	9	8719	8772
86	481	9692	9	9053	9196
92	528	11740	9	9580	9631
97	508	11804	9	9927	10068
102	563	11804	9	10455	10510
107	609	11804	9	10815	10955
112	657	11804	9	11334	11396
117	701	13852	9	11692	11832
122	741	13852	9	12214	12267
127	758	13916	9	12562	12701
132	805	13916	9	13087	13142
137	850	14940	9	13438	13580
142	856	15964	9	13972	14018
147	867	16028	9	14315	14453
152	1111	16092	9	14849	14876
157	1109	16092	9	15198	15309
163	1104	17116	9	15719	15746
168	1077	17116	9	16076	16181
173	1084	18140	9	16608	16626
178	1063	18204	9	16964	17069
183	1054	19228	9	17495	17505
188	1072	19228	9	17848	17944
193	1076	15132	9	18395	18395
198	1098	20252	9	18742	18828
203	1078	21276	9	19092	19265
208	1134	21340	9	19624	19702
213	1164	21340	9	19981	20140
218	1132	21340	9	20514	20583
223	1163	22428	9	20872	21028
228	1210	23452	9	21403	21465
234	1237	23516	9	21771	21913
239	1244	23516	9	22310	22355
244	782	23516	9	22678	22801
249	1728	25564	9	23184	23220
254	1682	25564	9	23550	23667
259	1687	25564	9	24093	24103
264	1672	25628	9	24445	24543
269	1480	26652	9	24804	24965
274	1438	19484	9	25349	25411
279	1449	27676	9	25710	25848
284	1457	27676	9	26242	26287
289	1490	27740	9	26603	26731
294	1263	28764	9	27147	27173
