elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	288	7168	1575	1734	1743	1734	1734	1734
5	330	9064	2020	2087	2193	2184	2184	2184
10	375	12084	2473	2620	2638	2638	2638	2638
15	385	13864	2915	2962	3075	3071	3071	3071
21	384	15688	3364	3494	3532	3532	3239	3532
26	386	17464	3803	3846	3982	3972	3679	3972
31	388	19312	4260	4380	4426	4426	3275	4426
36	426	21108	4705	4738	4885	4876	3725	4876
41	463	23964	5157	5273	5337	5337	3309	5337
46	504	25896	5620	5635	5797	5788	3760	5788
51	544	27700	6068	6176	6249	6249	3336	6249
56	586	29584	6534	6542	6716	6706	3793	6706
61	634	31444	6997	7088	7172	7172	3397	7172
67	672	34368	7469	7632	7641	7632	3857	7632
72	672	36160	7915	7992	8100	8100	3444	8100
77	655	38004	8369	8526	8545	8545	3889	8545
82	654	39860	8829	8890	9008	9008	3461	9008
87	657	41732	9295	9430	9467	9467	3920	9467
92	653	44660	9750	9802	9927	9927	3485	9927
97	648	46572	10209	10344	10390	10390	3948	10390
103	641	48392	10661	10704	10838	10837	3489	10837
108	564	50264	11127	11252	11299	11299	3054	11299
113	516	52092	11580	11611	11751	11751	3506	11751
118	560	54984	12045	12161	12226	12226	3096	12226
123	605	56872	12513	12530	12693	12693	3563	12693
128	618	58792	13000	13090	13173	13173	3145	13173
133	637	60684	13470	13459	13644	13644	3616	13644
139	655	62616	13941	14021	14116	14114	3195	14114
144	702	65528	14413	14579	14598	14589	3670	14589
149	749	67524	14889	14951	15071	15062	3264	15062
154	810	69416	15360	15516	15545	15545	3747	15545
159	836	71332	15835	15889	16018	16018	3306	16018
164	1014	73224	16305	16448	16486	16486	3774	16486
170	1024	75112	16775	16820	16963	16953	3318	16953
175	1024	78076	17261	17403	17451	17442	3807	17442
180	1039	80060	17750	17787	17939	17939	3388	17939
185	1041	82028	18247	18370	18436	18427	3876	18427
190	1041	84028	18736	18754	18927	18927	3456	18927
195	997	87088	19229	19340	19425	19416	3945	19416
201	1014	89168	19725	19724	19916	19916	3541	19916
206	1026	91136	20225	20310	20415	20406	4031	20406
211	1029	93156	20716	20897	20906	20906	3588	20906
216	1039	95124	21214	21281	21407	21397	4079	21397
221	1057	98172	21708	21869	21899	21899	3634	21899
226	1076	100140	22208	22264	22399	22390	4125	22390
232	1105	102160	22699	22850	22899	22889	3666	22889
237	1123	104168	23199	23236	23389	23389	4166	23389
242	1159	106148	23699	23821	23889	23889	3714	23889
247	1183	109184	24190	24216	24389	24379	4204	24379
252	1214	111252	24688	24802	24878	24878	3741	24878
258	1085	113264	25187	25195	25371	25371	4234	25371
263	1104	115188	25674	25765	25856	25856	3765	25856
268	1112	112004	26155	26332	26341	26332	3279	26332
273	1094	120108	26633	26706	26827	26818	3765	26818
278	1120	122040	27118	27275	27303	27303	3289	27303
284	1162	123980	27604	27657	27788	27779	3765	27779
289	1174	125928	28078	28225	28272	28262	3298	28262
294	1554	127844	28543	28587	28735	28726	3762	28726
299	1557	130800	29026	29155	29211	29211	3308	29211
305	1558	132820	29513	29540	29698	29698	3795	29698
310	1561	134768	29998	30109	30184	30184	3357	30184
315	1482	136732	30485	30493	30668	30668	3841	30668
320	1359	138672	30967	31057	31149	31149	3398	31149
325	1333	141644	31442	31625	31635	31635	3884	31635
331	1309	143576	31932	32006	32119	32119	3468	32119
336	1293	145548	32421	32579	32607	32607	3956	32607
341	1232	147500	32900	32959	33091	33091	3513	33091
346	1195	149464	33389	33531	33578	33578	4000	33578
352	1207	152448	33879	33914	34062	34062	3550	34062
357	1230	154452	34363	34489	34546	34546	4034	34546
