elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	276	1324	10	1740	1749	-1	-1	-1
5	302	1524	10	2072	2176	-1	-1	-1
10	331	2816	10	2594	2611	-1	-1	-1
15	355	2892	10	2937	3050	-1	-1	-1
20	385	3028	10	3463	3489	-1	-1	-1
25	363	3104	10	3799	3914	-1	-1	-1
30	345	3240	10	4312	4347	-1	-1	-1
35	344	4272	10	4650	4781	-1	-1	-1
40	345	5304	10	5170	5223	-1	-1	-1
45	346	5372	10	5521	5661	-1	-1	-1
51	361	5376	10	6036	6098	-1	-1	-1
56	377	5380	10	6384	6532	-1	-1	-1
61	399	5384	10	6904	6973	-1	-1	-1
66	422	6408	10	7248	7403	-1	-1	-1
71	452	6412	10	7757	7834	-1	-1	-1
76	482	6412	10	8101	8269	-1	-1	-1
81	499	6420	10	8620	8698	-1	-1	-1
86	494	7508	10	8968	9139	-1	-1	-1
91	487	7508	10	9477	9573	-1	-1	-1
96	484	8596	10	9996	9996	-1	-1	-1
101	487	8596	10	10343	10439	-1	-1	-1
107	491	8596	10	10857	10874	-1	-1	-1
112	495	8596	10	11208	11312	-1	-1	-1
117	499	8596	10	11730	11748	-1	-1	-1
122	509	9620	10	12088	12192	-1	-1	-1
127	521	9620	10	12606	12624	-1	-1	-1
132	541	9620	10	12952	13058	-1	-1	-1
137	564	10644	10	13475	13502	-1	-1	-1
142	579	10644	10	13826	13936	-1	-1	-1
147	606	10708	10	14339	14365	-1	-1	-1
152	637	11732	10	14684	14797	-1	-1	-1
157	667	11732	10	15209	15244	-1	-1	-1
163	697	11732	10	15557	15673	-1	-1	-1
168	711	11732	10	16071	16106	-1	-1	-1
173	711	11732	10	16417	16539	-1	-1	-1
178	712	12756	10	16941	16985	-1	-1	-1
183	712	13780	10	17303	17425	-1	-1	-1
188	715	13844	10	17828	17862	-1	-1	-1
193	715	13844	10	18179	18311	-1	-1	-1
198	716	13844	10	18702	18745	-1	-1	-1
203	716	13908	10	19050	19181	-1	-1	-1
208	702	14932	10	19579	19624	-1	-1	-1
214	700	14932	10	19929	20058	-1	-1	-1
219	706	14932	10	20456	20501	-1	-1	-1
224	671	14932	10	20808	20927	-1	-1	-1
229	686	14932	10	21305	21348	-1	-1	-1
234	706	15956	10	21654	21784	-1	-1	-1
239	728	16980	10	22180	22225	-1	-1	-1
244	719	16980	10	22531	22658	-1	-1	-1
249	724	16980	10	23059	23103	-1	-1	-1
254	745	17044	10	23411	23540	-1	-1	-1
259	773	17044	10	23940	23976	-1	-1	-1
264	745	18068	10	24289	24407	-1	-1	-1
270	706	18068	10	24805	24839	-1	-1	-1
275	716	18068	10	25158	25273	-1	-1	-1
280	748	18068	10	25683	25709	-1	-1	-1
285	778	19156	10	26028	26152	-1	-1	-1
290	809	20180	10	26557	26592	-1	-1	-1
295	839	20180	10	26914	27028	-1	-1	-1
300	869	20180	10	27437	27463	-1	-1	-1
305	1045	20244	10	27785	27889	-1	-1	-1
310	1046	20244	10	28305	28325	-1	-1	-1
315	1046	20244	10	28662	28768	-1	-1	-1
320	1046	21268	10	29182	29199	-1	-1	-1
325	1039	21268	10	29520	29616	-1	-1	-1
331	1039	21268	10	30048	30048	-1	-1	-1
336	1040	22292	10	30394	30481	-1	-1	-1
341	1041	6932	10	30917	30918	-1	-1	-1
346	1041	22292	10	31271	31358	-1	-1	-1
351	1041	23316	10	31613	31785	-1	-1	-1
356	1023	23380	10	32141	32219	-1	-1	-1
