elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	394	11196	2768	3019	3554	3020	3020	3020
5	406	13668	3380	3608	4448	3598	2993	3625
10	392	15996	3956	4173	5351	4161	2999	4264
15	405	18136	4486	4664	6262	4653	3081	4902
20	468	20096	4971	5152	7155	5142	3202	5521
25	527	21840	5403	5551	8054	5542	3187	6123
31	592	23432	5795	5935	8952	5925	3214	6729
36	624	24948	6169	6285	9839	6279	3243	7346
41	626	26316	6491	6597	10743	6595	3295	7977
46	627	27476	6779	6886	11673	6886	3361	8621
51	621	28592	7063	7173	12610	7176	3399	9262
56	581	29764	7346	7418	13519	7414	3349	9836
62	494	30640	7563	7629	14438	7629	3413	10489
67	583	31436	7759	7821	15353	7821	3428	11116
72	654	32164	7940	7990	16287	7990	3442	11753
77	701	32772	8089	8149	17196	8149	3440	12344
82	739	33480	8268	8324	18146	8319	3475	12994
87	928	34212	8434	8477	19056	8475	3509	13607
92	941	34744	8563	8596	19975	8596	3533	14233
97	944	35256	8675	8718	20883	8714	3557	14829
103	944	35708	8787	8820	21806	8817	2935	15449
108	953	36152	8898	8928	22725	8926	2939	16074
113	961	36532	8993	9021	23639	9021	2983	16708
118	953	36936	9092	9111	24556	9111	3000	17322
123	968	37252	9171	9199	25470	9197	2997	17935
128	1010	37608	9259	9278	26406	9275	3063	18578
133	1049	37888	9330	9347	27315	9346	3053	19198
139	1111	38116	9385	9401	28230	9400	3043	19816
144	1184	38352	9445	9456	29156	9455	3059	20443
149	1244	38664	9506	9506	30054	9505	3065	21075
154	1237	38804	9541	9550	30963	9550	3114	21725
159	1213	38984	9586	9586	31886	9586	3145	22341
164	1208	39108	9616	9617	32800	9616	3116	22939
169	1217	39212	9642	9642	33715	9642	3120	23558
175	1166	39336	9673	9666	34626	9666	3138	24186
180	1173	39428	9696	9697	35533	9697	3151	24803
185	1177	39608	9724	9723	36454	9723	3180	25438
190	1184	39712	9750	9745	37365	9745	3201	26060
195	1197	39780	9767	9764	38282	9764	3215	26693
200	1207	39928	9788	9782	39189	9782	3250	27319
205	1222	39984	9802	9797	40111	9797	3264	27945
211	1223	40044	9817	9811	41035	9811	3305	28571
216	1254	40124	9837	9832	41941	9832	3276	29190
221	1373	40172	9849	9840	42859	9840	3333	29807
226	1373	40216	9860	9855	43751	9856	3379	30447
231	1373	40268	9873	9863	44655	9863	3320	31044
236	1374	40300	9881	9873	45561	9873	3354	31670
241	1375	40352	9893	9887	46483	9886	3343	32267
246	1375	40384	9901	9892	47397	9892	3352	32870
252	1370	40476	9908	9899	48316	9899	3375	33479
257	1371	40504	9915	9909	49235	9909	3435	34120
262	1372	40532	9922	9916	50158	9915	3464	34737
267	1360	40584	9935	9926	51080	9926	3513	35374
272	1282	40604	9940	9934	52001	9934	3519	36001
277	1222	40700	9948	9942	52923	9942	3504	36614
282	1224	40724	9954	9946	53849	9946	3500	37237
288	1271	40740	9958	9950	54771	9950	2933	37856
293	1333	40764	9964	9954	55708	9954	2971	38492
298	1407	40776	9968	9961	56629	9961	2962	39099
303	1629	40864	9973	9963	57538	9963	2972	39712
308	1631	40880	9977	9966	58440	9966	2934	40286
313	1633	40884	9978	9967	59350	9967	2946	40897
318	1635	40892	9980	9969	60271	9969	2992	41556
324	1635	40896	9981	9971	61204	9971	3066	42189
329	1618	40908	9984	9973	62110	9973	3105	42808
334	1567	40912	9985	9975	63029	9975	3151	43457
339	1556	40920	9987	9977	63953	9977	3132	44088
344	1563	40932	9990	9979	64869	9979	3108	44683
349	1570	40932	9990	9979	65794	9979	3138	45278
354	1572	40936	9991	9981	66719	9981	3140	45894
360	1572	41012	9994	9983	67643	9983	3151	46506
365	1569	41020	9996	9985	68564	9985	3219	47147
370	1576	41020	9996	9986	69491	9986	3241	47777
375	1602	41088	9997	9986	70419	9986	3276	48396
380	1638	41092	9998	9987	71295	9987	3244	48970
385	1690	41096	9999	9989	72217	9989	3274	49601
390	1823	41100	10000	9989	73125	9989	3252	50203
396	1814	41104	10001	9992	74042	9990	3235	50816
401	1795	41116	10004	9993	74940	9993	3270	51449
406	1794	41116	10004	9993	75861	9993	3304	52085
411	1794	41180	10004	9993	76764	9993	3343	52737
416	1709	41180	10004	9993	77662	9993	3356	53332
421	1480	41180	10004	9994	78577	9994	3396	53985
426	1470	41184	10005	9994	79492	9994	3409	54601
431	1476	41188	10006	9995	80423	9995	3387	55209
437	1491	41192	10007	9996	81317	9996	3421	55837
442	1496	41192	10007	9996	82256	9996	3460	56459
447	1462	41192	10007	9996	83150	9996	3482	57062
452	1430	41192	10007	9996	84076	9996	3475	57670
457	1189	41192	10007	9996	85006	9996	3472	58283
462	1217	41260	10008	9997	85900	9997	3521	58930
467	1118	41260	10008	9997	86823	9997	3512	59557
473	1156	41260	10008	9997	87764	9997	2916	60160
478	1249	41328	10009	9998	88665	9998	2927	60783
