elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	418	11116	2751	2986	3542	2986	2986	2986
5	434	13560	3357	3585	4444	3585	3585	3585
11	436	15844	3922	4140	5350	4127	4127	4127
16	459	17880	4422	4593	6226	4606	4606	4606
21	517	19732	4880	5054	7130	5046	5046	5046
26	576	21588	5339	5476	8019	5476	5476	5476
31	640	23100	5716	5865	8920	5859	5859	5859
36	680	24604	6085	6215	9819	6215	6215	6215
41	682	25948	6416	6543	10738	6543	6543	6543
46	682	27368	6752	6864	11636	6861	6861	6861
52	684	28508	7035	7129	12539	7129	7129	7129
57	684	29452	7274	7369	13432	7369	7369	7369
62	726	30436	7518	7594	14354	7594	6976	7635
67	779	31284	7722	7802	15263	7802	7232	7891
72	776	32116	7928	7991	16174	7988	7471	8130
77	726	32836	8106	8153	17053	8156	7682	8341
82	783	33472	8263	8317	17986	8317	7159	8630
87	888	34028	8402	8435	18758	8435	7373	8844
93	887	34596	8526	8582	19607	8580	7610	9081
98	897	35220	8668	8712	20476	8712	7260	9292
103	904	35712	8788	8814	21306	8814	7468	9500
108	908	36068	8877	8900	22152	8900	7661	9693
113	909	36456	8973	9002	23021	9002	7855	9887
118	910	36828	9065	9101	23891	9099	7602	10081
123	910	37164	9152	9178	24763	9175	7795	10274
129	936	37456	9221	9244	25614	9244	7968	10447
134	968	37772	9300	9320	26485	9320	8154	10633
139	994	38020	9362	9365	27309	9365	7435	10782
144	1027	38176	9400	9414	28152	9414	7661	11008
149	1095	38468	9457	9461	29016	9459	7842	11189
154	1170	38632	9500	9503	29882	9501	8039	11386
159	1266	38800	9541	9550	30739	9550	7289	11565
165	1267	38972	9582	9582	31600	9582	7509	11785
170	1267	39088	9611	9610	32459	9610	7724	12000
175	1267	39200	9639	9638	33315	9638	7897	12173
180	1267	39336	9673	9676	34185	9676	7436	12408
185	1268	39464	9706	9705	35064	9704	7626	12598
190	1268	39628	9729	9735	35916	9735	7831	12803
195	1269	39752	9760	9756	36786	9756	8021	12993
201	1275	39876	9775	9771	37645	9771	7650	13169
206	1247	39960	9796	9793	38482	9793	7846	13365
211	1218	40028	9813	9811	39334	9810	8023	13542
216	1228	40092	9829	9826	40185	9826	8177	13696
221	1237	40156	9845	9842	41059	9842	7638	13894
226	1271	40228	9863	9856	41932	9856	7828	14084
231	1325	40260	9871	9863	42809	9863	8014	14270
237	1383	40296	9880	9877	43669	9877	8184	14440
242	1433	40348	9892	9883	44530	9883	7515	14656
247	1475	40384	9901	9898	45409	9898	7705	14846
252	1571	40488	9911	9903	46266	9903	7888	15029
257	1570	40516	9918	9908	47108	9908	8071	15212
262	1570	40544	9925	9919	47972	9919	7593	15444
268	1571	40588	9936	9927	48839	9927	7783	15634
273	1477	40620	9944	9934	49694	9934	7955	15806
278	1477	40636	9948	9939	50590	9938	7564	15991
283	1479	40716	9952	9945	51497	9944	7761	16188
288	1483	40740	9958	9948	52392	9948	7966	16393
293	1495	40752	9962	9952	53291	9952	8146	16573
298	1510	40772	9966	9956	54188	9956	7575	16721
303	1514	40848	9969	9958	55084	9958	7754	16900
309	1515	40860	9972	9962	55970	9962	7963	17109
314	1434	40864	9973	9963	56872	9963	8150	17296
319	1248	40868	9974	9965	57774	9965	7537	17475
324	1268	40884	9978	9968	58668	9968	7736	17674
329	1202	40896	9981	9972	59538	9972	7916	17854
334	1239	40904	9983	9974	60443	9974	8095	18033
339	1298	40920	9987	9976	61353	9976	7550	18222
345	1209	40920	9987	9978	62265	9978	7743	18415
350	1248	40928	9989	9978	63150	9978	7921	18593
355	1527	40940	9992	9983	64024	9983	8089	18761
360	1535	41016	9995	9984	64918	9984	7644	18962
365	1549	41024	9997	9987	65820	9987	7849	19167
370	1563	41040	10001	9991	66714	9991	8044	19362
375	1572	41044	10002	9991	67593	9991	8219	19537
381	1571	41048	10003	9993	68493	9992	7698	19759
386	1592	41116	10004	9993	69386	9993	7883	19944
391	1603	41116	10004	9994	70269	9994	8060	20121
396	1598	41120	10005	9994	71178	9994	8222	20283
401	1585	41124	10006	9995	72085	9995	7682	20499
406	1604	41128	10007	9996	72993	9996	7889	20706
411	1592	41192	10007	9996	73872	9996	8067	20884
417	1608	41192	10007	9996	74781	9996	8244	21061
422	1626	41196	10008	9997	75675	9997	7695	21246
427	1617	41196	10008	9997	76576	9997	7899	21450
432	1608	41196	10008	9998	77464	9998	8078	21629
437	1513	41200	10009	9998	78349	9998	8231	21782
442	1310	41200	10009	9998	79203	9998	7780	21975
447	1318	41200	10009	9998	80105	9998	7952	22147
453	1364	41200	10009	9998	80999	9998	8113	22308
458	1409	41200	10009	9998	81908	9998	7543	22474
463	1474	41264	10009	9998	82819	9998	7756	22687
468	1992	41264	10009	9998	83670	9998	7946	22877
473	1993	41264	10009	9998	84542	9998	8116	23047
478	1993	41264	10009	9998	85435	9998	7577	23225
