elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	321	1640	9	2950	3475	-1	-1	-1
5	359	1908	9	3431	4324	-1	-1	-1
10	397	3132	9	4094	5208	-1	-1	-1
15	313	4228	9	4443	6045	-1	-1	-1
20	314	4236	9	4984	6920	-1	-1	-1
25	318	4248	9	5333	7792	-1	-1	-1
30	344	4252	9	5783	8653	-1	-1	-1
35	383	4264	9	6075	9497	-1	-1	-1
41	430	4272	9	6448	10360	-1	-1	-1
46	454	4340	9	6704	11239	-1	-1	-1
51	456	5368	9	7032	12115	-1	-1	-1
56	456	6396	9	7237	12973	-1	-1	-1
61	457	6400	9	7502	13824	-1	-1	-1
66	458	6404	9	7670	14715	-1	-1	-1
71	465	6408	9	7909	15605	-1	-1	-1
76	501	6412	9	8052	16485	-1	-1	-1
81	538	6412	9	8242	17328	-1	-1	-1
86	572	6416	9	8376	18161	-1	-1	-1
91	572	7504	9	8534	19020	-1	-1	-1
96	572	7568	9	8631	19870	-1	-1	-1
101	573	7568	9	8757	20719	-1	-1	-1
107	574	7568	9	8868	21578	-1	-1	-1
112	574	7568	9	8937	22427	-1	-1	-1
117	575	7568	9	9042	23271	-1	-1	-1
122	568	7568	9	9097	24131	-1	-1	-1
127	581	7568	9	9183	24964	-1	-1	-1
132	622	8592	9	9233	25810	-1	-1	-1
137	668	8592	9	9299	26672	-1	-1	-1
142	721	8592	9	9342	27515	-1	-1	-1
147	722	8656	9	9397	28382	-1	-1	-1
152	724	8656	9	9437	29236	-1	-1	-1
157	725	8656	9	9493	30088	-1	-1	-1
162	725	8656	9	9522	30957	-1	-1	-1
167	726	8656	9	9564	31808	-1	-1	-1
172	726	8656	9	9593	32665	-1	-1	-1
178	727	9680	9	9643	33531	-1	-1	-1
183	728	9680	9	9673	34378	-1	-1	-1
188	729	9680	9	9713	35253	-1	-1	-1
193	754	9744	9	9730	36112	-1	-1	-1
198	779	9744	9	9754	36993	-1	-1	-1
203	735	9808	9	9765	37883	-1	-1	-1
208	738	9808	9	9785	38744	-1	-1	-1
213	814	9808	9	9805	39598	-1	-1	-1
218	816	10832	9	9830	40468	-1	-1	-1
223	816	10832	9	9843	41319	-1	-1	-1
228	816	10832	9	9855	42132	-1	-1	-1
233	786	10832	9	9864	42921	-1	-1	-1
239	571	10832	9	9878	43692	-1	-1	-1
244	578	10832	9	9889	44569	-1	-1	-1
249	610	10832	9	9900	45417	-1	-1	-1
254	624	10896	9	9911	46276	-1	-1	-1
259	657	10896	9	9917	47147	-1	-1	-1
264	580	11920	9	9921	48009	-1	-1	-1
269	553	11920	9	9926	48854	-1	-1	-1
274	599	11920	9	9933	49712	-1	-1	-1
279	653	11920	9	9938	50623	-1	-1	-1
284	703	11920	9	9944	51507	-1	-1	-1
289	750	11920	9	9949	52365	-1	-1	-1
294	802	11632	9	9950	53234	-1	-1	-1
299	806	11984	9	9956	54113	-1	-1	-1
305	810	13072	9	9959	54983	-1	-1	-1
310	703	13072	9	9961	55879	-1	-1	-1
315	711	13072	9	9965	56759	-1	-1	-1
320	530	13072	9	9966	57668	-1	-1	-1
325	509	13072	9	9969	58543	-1	-1	-1
330	560	13072	9	9972	59437	-1	-1	-1
335	608	13072	9	9976	60344	-1	-1	-1
340	637	13072	9	9976	61223	-1	-1	-1
345	686	14096	9	9977	62100	-1	-1	-1
350	703	14096	9	9979	62969	-1	-1	-1
355	724	14160	9	9980	63866	-1	-1	-1
361	692	14160	9	9983	64742	-1	-1	-1
366	730	14160	9	9985	65601	-1	-1	-1
371	779	14160	9	9985	66491	-1	-1	-1
376	820	14160	9	9986	67363	-1	-1	-1
381	771	14160	9	9987	68263	-1	-1	-1
386	897	15184	9	9991	69126	-1	-1	-1
391	907	15248	9	9991	69970	-1	-1	-1
396	922	15248	9	9992	70846	-1	-1	-1
401	930	15248	9	9992	71704	-1	-1	-1
406	918	15248	9	9992	72559	-1	-1	-1
411	928	15312	9	9992	73435	-1	-1	-1
416	951	15312	9	9993	74297	-1	-1	-1
422	904	15312	9	9994	75177	-1	-1	-1
427	918	15312	9	9994	76033	-1	-1	-1
432	932	16336	9	9995	76911	-1	-1	-1
437	948	16336	9	9995	77767	-1	-1	-1
442	965	16336	9	9996	78639	-1	-1	-1
447	976	16336	9	9996	79493	-1	-1	-1
452	996	16336	9	9996	80365	-1	-1	-1
457	1020	16336	9	9996	81218	-1	-1	-1
462	1042	16400	9	9996	82086	-1	-1	-1
467	1055	16400	9	9996	82953	-1	-1	-1
472	1077	17424	9	9996	83830	-1	-1	-1
477	1109	16400	9	9996	84674	-1	-1	-1
