elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	274	808	9	376	3533	-1	-1	-1
5	304	1008	9	455	4414	-1	-1	-1
10	304	1212	9	565	5311	-1	-1	-1
15	305	1352	9	640	6189	-1	-1	-1
20	314	2448	9	752	7061	-1	-1	-1
25	319	2520	9	824	7969	-1	-1	-1
30	318	2532	9	936	8862	-1	-1	-1
36	318	2540	9	1012	9758	-1	-1	-1
41	319	2612	9	1120	10659	-1	-1	-1
46	319	2680	9	1199	11499	-1	-1	-1
51	317	2744	9	1311	12385	-1	-1	-1
56	338	3772	9	1384	13260	-1	-1	-1
61	338	3840	9	1496	14134	-1	-1	-1
66	339	3908	9	1608	15024	-1	-1	-1
71	344	3912	9	1680	15886	-1	-1	-1
76	329	3916	9	1792	16778	-1	-1	-1
81	330	3984	9	1872	17651	-1	-1	-1
86	327	4048	9	1980	18541	-1	-1	-1
91	323	5136	9	2055	19403	-1	-1	-1
97	323	5200	9	2168	20318	-1	-1	-1
102	274	5264	9	2240	21219	-1	-1	-1
107	253	5264	9	2352	22129	-1	-1	-1
112	253	5328	9	2431	23038	-1	-1	-1
117	255	5328	9	2536	23959	-1	-1	-1
122	188	5392	9	2616	24865	-1	-1	-1
127	204	6416	9	2728	25766	-1	-1	-1
132	216	6480	9	2840	26655	-1	-1	-1
137	220	6480	9	2912	27563	-1	-1	-1
142	222	6544	9	3024	28477	-1	-1	-1
147	224	6608	9	3102	29372	-1	-1	-1
153	235	7632	9	3214	30279	-1	-1	-1
158	236	7632	9	3288	31169	-1	-1	-1
163	233	8656	9	3400	32070	-1	-1	-1
168	234	8656	9	3472	32958	-1	-1	-1
173	237	8656	9	3584	33811	-1	-1	-1
178	237	8656	9	3656	34709	-1	-1	-1
183	239	8656	9	3768	35588	-1	-1	-1
188	239	8720	9	3848	36493	-1	-1	-1
193	240	8720	9	3960	37375	-1	-1	-1
198	243	9808	9	4072	38279	-1	-1	-1
203	280	9808	9	4144	39177	-1	-1	-1
209	281	9808	9	4256	40093	-1	-1	-1
214	284	9808	9	4328	40995	-1	-1	-1
219	285	9808	9	4440	41904	-1	-1	-1
224	285	9808	9	4519	42791	-1	-1	-1
229	273	9808	9	4632	43706	-1	-1	-1
234	275	10832	9	4704	44609	-1	-1	-1
239	276	10832	9	4816	45503	-1	-1	-1
244	270	10832	9	4894	46316	-1	-1	-1
249	265	10832	9	5001	47142	-1	-1	-1
254	272	10896	9	5080	48038	-1	-1	-1
259	226	10896	9	5190	48803	-1	-1	-1
265	203	10896	9	5304	49599	-1	-1	-1
270	210	10896	9	5376	50417	-1	-1	-1
275	225	11920	9	5488	51311	-1	-1	-1
280	222	11920	9	5565	52197	-1	-1	-1
285	236	11920	9	5678	53107	-1	-1	-1
290	238	11984	9	5752	54000	-1	-1	-1
295	240	11984	9	5864	54863	-1	-1	-1
300	242	11984	9	5936	55743	-1	-1	-1
305	246	12048	9	6048	56644	-1	-1	-1
310	256	13072	9	6128	57496	-1	-1	-1
316	260	13072	9	6239	58354	-1	-1	-1
321	261	14096	9	6312	59216	-1	-1	-1
326	263	14096	9	6424	60094	-1	-1	-1
331	266	14096	9	6502	60987	-1	-1	-1
336	266	14096	9	6615	61861	-1	-1	-1
341	269	14096	9	6688	62734	-1	-1	-1
346	271	15120	9	6800	63647	-1	-1	-1
351	267	15120	9	6912	64564	-1	-1	-1
356	269	15184	9	6984	65454	-1	-1	-1
361	271	15184	9	7096	66375	-1	-1	-1
366	272	15184	9	7176	67267	-1	-1	-1
371	275	15184	9	7288	68165	-1	-1	-1
376	278	15184	9	7360	69062	-1	-1	-1
382	277	16208	9	7472	69954	-1	-1	-1
387	279	16272	9	7544	70845	-1	-1	-1
392	281	16272	9	7661	71671	-1	-1	-1
397	282	16272	9	7736	72566	-1	-1	-1
402	324	16272	9	7848	73442	-1	-1	-1
407	318	16336	9	7920	74328	-1	-1	-1
412	306	16336	9	8032	75231	-1	-1	-1
417	307	17360	9	8111	76103	-1	-1	-1
422	310	17360	9	8224	77007	-1	-1	-1
427	311	17360	9	8296	77887	-1	-1	-1
432	316	17360	9	8408	78789	-1	-1	-1
437	317	17360	9	8484	79675	-1	-1	-1
442	318	17360	9	8599	80573	-1	-1	-1
448	318	17360	9	8672	81485	-1	-1	-1
453	318	18384	9	8784	82383	-1	-1	-1
458	319	13264	9	8896	83282	-1	-1	-1
463	322	18448	9	8968	84165	-1	-1	-1
468	323	18448	9	9080	85061	-1	-1	-1
473	324	18448	9	9159	85938	-1	-1	-1
478	328	18512	9	9272	86836	-1	-1	-1
