elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	360	712	51	48	3469	48	48	48
5	368	860	59	56	4369	56	40	56
10	369	1032	70	64	5225	64	40	64
15	370	1220	83	72	6100	72	40	72
20	282	1364	91	80	7007	80	40	80
25	282	1556	99	95	7836	95	47	95
30	284	1704	107	104	8680	104	48	104
35	284	1860	115	112	9581	112	40	112
40	286	2064	131	120	10461	120	40	120
45	286	2264	139	128	11297	128	40	128
51	287	2456	147	136	12167	136	40	136
56	289	2588	155	152	13037	152	48	152
61	289	2724	163	160	13915	160	48	160
66	290	2932	179	168	14794	168	40	168
71	292	3068	187	176	15666	176	40	176
76	290	3208	195	184	16579	184	40	184
81	286	3400	203	200	17449	200	48	200
86	287	3528	211	208	18308	208	48	208
91	285	3732	219	216	19168	216	48	216
96	284	3992	235	224	20034	224	40	224
102	284	4124	243	232	20899	232	40	232
107	285	4316	251	244	21739	244	44	244
112	284	4444	259	256	22590	256	48	256
117	286	4576	267	264	23470	264	48	264
122	286	4772	283	272	24325	272	48	272
127	287	4912	291	280	25166	280	41	280
132	287	5044	299	288	26038	288	40	288
137	287	5236	307	304	26904	304	48	304
142	287	5368	315	312	27761	312	48	312
147	288	5592	326	320	28637	320	48	320
152	290	5772	339	328	29488	328	32	328
158	290	5904	347	336	30337	336	32	336
163	291	6096	355	352	31189	352	40	352
168	291	6220	363	360	32045	360	40	360
173	292	6352	371	368	32901	368	40	368
178	293	6548	387	376	33737	376	40	376
183	293	6672	395	384	34589	384	35	384
188	293	6856	403	392	35419	392	32	392
193	294	7052	411	408	36273	408	40	408
198	294	7244	419	416	37131	416	40	416
203	295	7460	435	424	37975	424	40	424
208	295	7596	443	432	38812	432	40	432
214	296	7732	451	440	39707	440	40	440
219	297	7908	459	456	40561	456	40	456
224	297	8040	467	464	41398	464	40	464
229	299	8172	475	472	42251	472	40	472
234	300	8372	491	480	43086	480	40	480
239	300	8496	499	488	43937	488	40	488
244	301	8684	507	496	44784	496	40	496
249	301	8824	515	512	45665	512	40	512
254	302	9020	523	520	46543	520	40	520
259	302	9224	539	528	47385	528	40	528
265	303	9352	547	536	48235	536	40	536
270	303	9484	555	544	49071	544	40	544
275	304	9668	563	560	49928	560	48	560
280	305	9800	571	568	50767	568	40	568
285	305	10048	586	576	51601	576	40	576
290	307	10188	595	584	52449	584	40	584
295	308	10316	603	592	53296	592	40	592
300	309	10520	611	608	54185	608	48	608
305	310	10708	619	616	55040	616	48	616
310	310	10820	627	624	55877	624	40	624
316	311	11036	643	632	56728	632	40	632
321	295	11176	651	640	57606	640	40	640
326	291	11344	659	648	58442	648	40	648
331	291	11484	667	664	59288	664	48	664
336	292	11616	675	672	60159	672	48	672
341	293	11824	691	680	61031	680	40	680
346	293	11964	699	688	61924	688	40	688
351	294	12096	707	696	62785	696	40	696
356	295	12344	715	712	63668	712	48	712
361	296	12480	723	720	64556	720	48	720
366	297	12616	731	728	65407	728	48	728
372	298	12816	747	736	66293	736	41	736
377	298	12956	755	744	67173	744	40	744
382	299	13216	763	755	68061	755	43	755
387	299	13348	771	768	68936	768	48	768
392	300	13488	779	776	69785	776	48	776
397	300	13692	795	784	70673	784	48	784
402	301	13820	803	792	71522	792	46	792
407	302	14020	811	800	72386	800	40	800
412	302	14200	819	816	73222	816	48	816
417	303	14336	827	824	74081	824	40	824
423	306	14516	839	832	74949	832	40	832
428	264	14692	851	840	75845	840	40	840
433	266	14824	859	848	76706	848	32	848
438	266	15020	867	864	77565	864	40	864
443	267	15140	875	872	78417	872	40	872
448	267	15276	883	880	79289	880	40	880
453	268	15492	899	888	80158	888	40	888
458	269	15632	907	896	81004	896	40	896
463	261	15876	915	904	81913	904	32	904
468	262	16008	923	920	82775	920	40	920
473	263	16204	931	928	83612	928	40	928
479	264	16400	946	936	84464	936	40	936
